Class,Average Difficulty
VNM003,8.00
VNM002,7.00
TFDP066,2.00
TFDP052,4.00
TFDP050S,3.00
TFDP022,6.00
TFDP021,6.00
TFDP010,1.67
STAT183,2.00
STAT171,8.00
STAT170B,4.00
STAT170A,7.00
STAT160C,9.00
STAT160B,8.00
STAT160A,8.00
STAT157,6.00
STAT155,5.79
STAT147,5.25
STAT146,4.50
STAT130,4.50
STAT127,See BUS127
STAT100B,5.29
STAT100A,4.25
STAT048,5.50
STAT040,5.50
STAT004,8.00
SPN109B,4.00
SPN109A,6.00
SPN004,5.33
SPN003,6.00
SPN002,6.60
SPN001,5.50
SOC167,8.00
SOC151,6.50
SOC150,10.00
SOC140,7.00
SOC137,4.00
SOC122,10.00
SOC030,1.00
SOC020,4.00
SOC010,7.67
SOC005,9.00
SOC004,5.75
SOC003,8.00
SOC002R,5.00
SOC002M,1.00
SOC002F,2.00
SOC002,4.50
SOC001,5.70
RLST113,1.00
RLST044,5.00
RLST015,4.40
RLST012H,7.00
RLST012,1.25
RLST007,3.00
RLST006,2.00
RLST005,5.00
RLST002,3.00
RLST001,4.00
PSYC189,7.00
PSYC182E,2.00
PSYC179,5.00
PSYC178,2.00
PSYC175,4.00
PSYC168,3.00
PSYC160,5.00
PSYC153,9.00
PSYC152,6.50
PSYC150,4.67
PSYC142,3.00
PSYC140,2.50
PSYC139,6.00
PSYC133,4.00
PSYC132,7.00
PSYC128,8.00
PSYC115,4.00
PSYC110,7.17
PSYC049,2.33
PSYC037,3.00
PSYC013,10.00
PSYC012,5.63
PSYC011,5.40
PSYC002,3.27
PSYC001,3.30
POSC254,7.00
POSC201,9.00
POSC198G,3.00
POSC182,5.00
POSC168,4.00
POSC167,8.00
POSC166,7.00
POSC165S,7.00
POSC163,5.50
POSC161,3.00
POSC160S,4.00
POSC157S,7.00
POSC154,2.00
POSC153,8.00
POSC151,4.00
POSC146,6.00
POSC144S,4.00
POSC143S,4.50
POSC137,2.00
